,Activation Function,nLayer,nHiddenNeuron,N Iteration,Loss,RMSE,RelErr,Pearson Corr,Time Elapsed
116,relu,4,2,72,3.7974129399581625e-05,0.007285742396634824,4.0039687163550886,0.005091520491196178,1.778954029083252
117,relu,4,3,23,1.5759802799666787e-05,0.004679111423629734,1.6514667205340317,0.012903834170344165,0.594559907913208
118,relu,4,4,19,7.663096919647929e-05,0.01076065843007808,8.734151970392123,0.0005684673638230946,0.5254271030426025
119,relu,4,5,43,1.7413647671943106e-05,0.004416710246340405,1.471434280171073,-0.004740371652534538,1.1779818534851074
120,relu,5,1,14,8.640716181772109e-06,0.003641087804470539,1.0000123331233137,-4.9390014171040164e-17,0.4132521152496338
121,relu,5,2,82,7.815200572272405e-05,0.011465599512461244,9.916001599631477,0.0054824324656563405,2.373051881790161
122,relu,5,3,27,2.170041981181908e-05,0.005524102215348042,2.301794054933702,0.014300753598269409,0.8113038539886475
123,relu,5,4,21,0.00017396111641521109,0.01772014347603777,23.685225289812276,-0.004482460884139474,0.6486949920654297
124,relu,5,5,22,6.995702158566137e-05,0.01061972638328475,8.506868250357659,0.019319286399813652,0.6868531703948975
125,relu,6,1,14,8.660322678863088e-06,0.003641075916315356,1.0000058030515158,4.9390014171040164e-17,0.4614109992980957
126,relu,6,2,27,0.0003129567908671917,0.02503547740440261,47.277533057217354,-0.00417895643790613,0.8945708274841309
127,relu,6,3,17,2.2707398273619503e-05,0.005945093389429355,2.6660016538974642,-0.0068811835343287955,0.597506046295166
128,relu,6,4,15,2.775033623593184e-05,0.005950483461458757,2.6708380640932674,0.005264786699554418,0.5318508148193359
129,relu,6,5,21,4.8745605404873485e-05,0.008941537524145332,6.030696309033124,0.016609292634225985,0.7583448886871338
130,relu,7,1,83,2.952076990396678e-05,0.007007703369214346,3.704200384656261,4.9390014171040164e-17,3.0944039821624756
131,relu,7,2,49,1.715304053165856e-05,0.004530769002126341,1.5484133008434746,,1.8527920246124268
132,relu,7,3,17,2.717040732554532e-05,0.0060325420656675835,2.7450089834344586,-0.019096479219401247,0.6666281223297119
133,relu,7,4,15,5.276642072299211e-05,0.009222656006580073,6.41586286676827,-0.003784276667525805,0.6043601036071777
134,relu,7,5,22,3.48739029793544e-05,0.006914894881554266,3.606734856786523,-0.0021104398153196156,0.9021792411804199
